"Privilege Parent Group","Privilege Parent GroupID","Privilege Name","Privilege ID","Privilege Description","HEDC_DAAS_Admin","HEDC_DBA","HEDC_ITSM_Admins","HEDC_Networking","HEDC_Operations","HEDC_Operations_wProvision","HEDC_Printer_admins","HEDC_SCOIN_CM","HEDC_SCPT_Admins","HEDC_SCPT_Admins_Test"
"Content Library","ContentLibrary","Sync subscribed library","ContentLibrary.SyncLibrary","Synchronize a subscribed library","False","False","False","False","False","False","False","False","False","False"
"Content Library","ContentLibrary","Update configuration settings","ContentLibrary.UpdateConfiguration","Update global configuration settings of Content Library","False","False","False","False","False","False","False","False","False","False"
"vSphere Data Protection","vSphereDataProtection","Protection","vSphereDataProtection.Protection","Can protect protected entities (such as VMs)","False","False","False","False","False","False","False","False","False","False"
"ESXi Health Perspectives","VcIntegrity.lifecycleHealth","Read","VcIntegrity.lifecycleHealth.Read","Read privilege for ESXi Health Perspectives resource","False","False","False","False","False","False","False","False","False","False"
"RuleSet","AutoDeploy.RuleSet","Edit","AutoDeploy.RuleSet.Edit","Edit a rule set","False","False","False","False","False","False","False","False","False","False"
"Content Library","ContentLibrary","Check out a template","ContentLibrary.CheckOutTemplate","Check out a template","False","False","False","False","False","False","False","False","False","False"
"Manage Patches and Upgrades","VcIntegrity.Updates","Stage Patches and Extensions","VcIntegrity.Updates.com.vmware.vcIntegrity.Stage","Stage patches or extensions to hosts. In addition, this privilege allows you to view the compliance status.","False","False","False","False","False","False","False","False","False","False"
"Content Library","ContentLibrary","Publish a library item to its subscribers","ContentLibrary.PublishLibraryItem","Publish a library item","False","False","False","False","False","False","False","False","False","True"
"Namespaces","Namespaces","SelfServiceManage","Namespaces.SelfServiceManage","SelfServiceManage","False","False","False","False","False","False","False","False","False","False"
"Content Library","ContentLibrary","Update subscription of a published library","ContentLibrary.UpdateSubscription","Update subscription","False","False","False","False","False","False","False","False","False","False"
"Nsx","Nsx","ModifyAll","Nsx.ModifyAll","ModifyAll","False","False","False","False","False","False","False","False","False","False"
"Lifecycle Manager: General Privileges","VcIntegrity.lifecycleGeneral","Write","VcIntegrity.lifecycleGeneral.Write","General Write privilege for Lifecycle Manager resource","False","False","False","False","False","False","False","False","False","False"
"Depot","ImageBuilder.Depot","Create","ImageBuilder.Depot.Create","Create","False","False","False","False","False","False","False","False","False","False"
"Content Library","ContentLibrary","Download files","ContentLibrary.DownloadSession","Download files from a library item","False","False","False","False","False","False","False","False","False","True"
"vService","vService","Reconfigure dependency configuration","vService.ReconfigureDependency","Reconfigure the vService dependency","False","False","False","False","False","False","False","False","False","False"
"vSphere Data Protection","vSphereDataProtection","Recovery","vSphereDataProtection.Recovery","Can recover protected entities (such as VMs)","False","False","False","False","False","False","False","False","False","False"
"Content Library","ContentLibrary","Check in a template","ContentLibrary.CheckInTemplate","Check in a template","False","False","False","False","False","False","False","False","False","False"
"Namespaces","Namespaces","Configure","Namespaces.Configure","Configure","False","False","False","False","False","False","False","False","False","False"
"Observability","Observability","Admin","Observability.Admin","Admin","False","False","False","False","False","False","False","False","False","False"
"Lifecycle Manager: Image Remediation Privileges","VcIntegrity.lifecycleSoftwareRemediation","Read","VcIntegrity.lifecycleSoftwareRemediation.Read","Read privilege for Lifecycle Manager Image Remediation","False","False","False","False","False","False","False","False","False","False"
"VcLifecycle","VcLifecycle","View","VcLifecycle.View","View","False","False","False","False","False","False","False","False","False","False"
"Lifecycle Manager: Image Privileges","VcIntegrity.lifecycleSoftwareSpecification","Write","VcIntegrity.lifecycleSoftwareSpecification.Write","Write privilege for Lifecycle Manager Image","False","False","False","False","False","False","False","False","False","False"
"Content Library","ContentLibrary","Delete local library","ContentLibrary.DeleteLocalLibrary","Delete a local library","False","False","False","False","False","False","False","False","False","False"
"Depot","ImageBuilder.Depot","Delete","ImageBuilder.Depot.Delete","Delete","False","False","False","False","False","False","False","False","False","False"
"Image Profile","AutoDeploy.Profile","Edit","AutoDeploy.Profile.Edit","Associate an Image Profile","False","False","False","False","False","False","False","False","False","False"
"Trust","Trust","Administer","Trust.Administer","Administer","False","False","False","False","False","False","False","False","False","False"
